,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
221,Before Sunset,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8,266992,/title/tt0381681/
222,The Wizard of Oz,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8,403319,/title/tt0032138/
223,Groundhog Day,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8,635781,/title/tt0107048/
224,The Best Years of Our Lives,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",8,65633,/title/tt0036868/
225,The Exorcist,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8,411763,/title/tt0070047/
226,The Incredibles,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8,742500,/title/tt0317705/
227,To Be or Not to Be,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8,38356,/title/tt0035446/
228,La battaglia di Algeri,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8,61120,/title/tt0058946/
229,La haine,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8,176278,/title/tt0113247/
230,Hachi: A Dog's Tale,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8,288050,/title/tt1028532/
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8,1131723,/title/tt0325980/
232,Babam ve Oglum,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8,87522,/title/tt0476735/
233,Jai Bhim,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8,203091,/title/tt15097216/
234,The Grapes of Wrath,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",8,94397,/title/tt0032551/
235,Amores perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8,242350,/title/tt0245712/
236,Rebecca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8,138694,/title/tt0032976/
237,Cool Hand Luke,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8,179011,/title/tt0061512/
238,Ah-ga-ssi,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8,150549,/title/tt4016934/
239,Les quatre cents coups,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8,119558,/title/tt0053198/
240,The Sound of Music,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8,238549,/title/tt0059742/
241,It Happened One Night,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8,105358,/title/tt0025316/
242,Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8,120641,/title/tt0060827/
243,Life of Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8,402681,/title/tt0079470/
244,The Iron Giant,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8,201640,/title/tt0129167/
245,Dersu Uzala,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8,30634,/title/tt0071411/
246,The Help,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone",8,462264,/title/tt1454029/
247,Aladdin,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8,424316,/title/tt0103639/
248,Gandhi,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8,233438,/title/tt0083987/
249,Dances with Wolves,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8,268356,/title/tt0099348/
