,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
50,Alien,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,886563,/title/tt0078748/
51,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.4,186200,/title/tt0021749/
52,Apocalypse Now,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,670675,/title/tt0078788/
53,Memento,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,1242444,/title/tt0209144/
54,Django Unchained,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,1560118,/title/tt1853728/
55,Raiders of the Lost Ark,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4,970190,/title/tt0082971/
56,WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,1119811,/title/tt0910970/
57,The Lives of Others,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,391750,/title/tt0405094/
58,Sunset Blvd,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,223757,/title/tt0043014/
59,Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,199117,/title/tt0050825/
60,The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,1026758,/title/tt0081505/
61,The Great Dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,225603,/title/tt0032553/
62,Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,1085794,/title/tt4154756/
63,Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,127033,/title/tt0051201/
64,Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,721258,/title/tt0090605/
65,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.3,534334,/title/tt4633694/
66,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,1158396,/title/tt0169547/
67,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3,493650,/title/tt0057012/
68,The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,1709728,/title/tt1345836/
69,Oldeuboi,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.3,583057,/title/tt0364569/
70,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,1455344,/title/tt0361748/
71,Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,403649,/title/tt0086879/
72,Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,512908,/title/tt2380307/
73,Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3,1294004,/title/tt7286456/
74,Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,997577,/title/tt0114709/
